year,total_tracks
1900,100
1901,100
1902,0
1903,0
1904,0
1905,100
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,1
1918,0
1919,0
1920,0
1921,2
1922,0
1923,1
1924,0
1925,14
1926,21
1927,6
1928,14
1929,2
1930,92
1931,45
1932,16
1933,11
1934,0
1935,100
1936,49
1937,40
1938,38
1939,100
1940,100
1941,11
1942,100
1943,100
1944,26
1945,100
1946,98
1947,100
1948,93
1949,75
1950,100
1951,100
1952,100
1953,100
1954,100
1955,100
1956,100
1957,100
1958,100
1959,100
1960,100
1961,100
1962,100
1963,100
1964,100
1965,100
1966,100
1967,100
1968,100
1969,100
1970,100
1971,100
1972,100
1973,100
1974,100
1975,100
1976,100
1977,100
1978,100
1979,100
1980,100
1981,100
1982,100
1983,100
1984,100
1985,100
1986,100
1987,100
1988,100
1989,100
1990,100
1991,100
1992,100
1993,100
1994,100
1995,100
1996,100
1997,100
1998,100
1999,100
2000,100
2001,100
2002,100
2003,100
2004,100
2005,100
2006,100
2007,100
2008,100
2009,100
2010,100
2011,100
2012,100
2013,100
2014,100
2015,100
2016,100
2017,100
2018,100
2019,100
2020,100
2021,100
2022,100
2023,100
2024,100
